Domain,Verfügbarkeit,Preis/Jahr (ca.),Registrar,Bestell-Link,Kira's Meinung
flo.xyz,wahrscheinlich vergeben,~€15–20,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=flo.xyz,Wunschkandidat — kurz & stark
flohuber.xyz,prüfen,~€12–15,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=flohuber.xyz,Klar & vollständig
flo-design.xyz,wahrscheinlich frei,~€12–15,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=flo-design.xyz,Beschreibend & einprägsam
manifesto.xyz,prüfen,~€12–15,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=manifesto.xyz,Passt zum Slogan perfekt
flomanifest.xyz,wahrscheinlich frei,~€12–15,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=flomanifest.xyz,Slogan + Logo kombiniert
flo.design,prüfen,~€25–35,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=flo.design,Premium-TLD für Designer
flohuber.at,wahrscheinlich frei,~€10–12,EuroDNS,https://www.eurodns.com/search-domain-name#?search=flohuber.at,Österreich-Bezug
florianhuber.xyz,wahrscheinlich frei,~€12–15,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=florianhuber.xyz,Voller Name & klar
ideen.xyz,prüfen,~€12–15,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=ideen.xyz,Bezug zum Slogan auf Deutsch
manifest.xyz,prüfen,~€12–15,Namecheap,https://www.namecheap.com/domains/registration/results/?domain=manifest.xyz,Stark & markig
